Age,Sex,Race,Zip Code,# years in Zip Code,Living Arrangement,# of housing units,Communte to school (hours),Household income,Education,How often you spend\nleisure time with family,How often you spend leisure time with friends,How often you spend leisure time with neighbors,How often you spend leisure time with coworkers,# family members you spend time with regularly within 15 minutes (driving),# friends you spend time with regularly within 15 minutes (driving),# neighbors you spend time with regularly within 15 minutes (driving),#  coworkers you spend time with regularly within 15 minutes (driving),"Level of agreement with: ""I consider myself a social person""","Level of agreement with: ""When I have free time, I generally like to spend it with other people""","Level of agreement with: ""I feel like I have a strong social circle in my geographic proximity.""","Level of agreement with: ""The place where I live has a strong sense of community""","Level of agreement with: ""I am interested in being a part of or helping build community where I live.""","Level of agreement with: ""I would be sorry to move away from the people I spend time with here."""
60,Female,White (non-hispanic),25401,60,"With spouse, significant other, and/or children",1,0.2,30,High school,At least once a week,A few times a month,Less often,About once a month,Linda,Cindy,Tony,Crystal,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree
60,Female,White (non-hispanic),28803,5,"With spouse, significant other, and/or children",1,0.5,92,Master's or post-graduate professional degree,At least once a week,At least once a week,A few times a month,A few times a month,4,2,6,4,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
60,Female,White (non-hispanic),54476,19,"With spouse, significant other, and/or children",1,0.4,58,High school,At least once a week,At least once a week,Daily,Daily,2,2,1,8,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree
60,Male,White (non-hispanic),85748,1,"With spouse, significant other, and/or children",1,0.2,74,Some college/associate's degree,About once a month,A few times a month,Less often,Less often,0,0,2,0,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree
60,Male,"White (non-hispanic),Asian",94538,20,"With spouse, significant other, and/or children",1,0.5,92,Four-year college,About once a month,Less often,Less often,About once a month,10,5,20,5,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree
59,Male,White (non-hispanic),88063,4,"With spouse, significant other, and/or children",1,0.5,20,High school,Less often,Daily,Daily,Daily,0,7,4,1,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
59,Female,White (non-hispanic),95608,5,"With spouse, significant other, and/or children",2,0,52,Some college/associate's degree,Daily,A few times a month,At least once a week,Daily,4,5,2,6,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree
59,Female,White (non-hispanic),16801,52,Living alone,1,0.2,28,Four-year college,At least once a week,At least once a week,About once a month,About once a month,2,4,2,2,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree
59,Female,White (non-hispanic),13324,29,"With spouse, significant other, and/or children",1,0.8,62,Some college/associate's degree,Less often,Less often,Less often,Less often,0,2,2,0,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree
59,Female,"White (non-hispanic),Black or African American",30269,20,Living alone,1,0.2,31,Four-year college,Less often,About once a month,Less often,Less often,0,0,0,0,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree
59,Female,White (non-hispanic),2871,29,"With spouse, significant other, and/or children",1,0.5,61,Four-year college,A few times a month,At least once a week,A few times a month,A few times a month,2,3,1,2,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
58,Male,White (non-hispanic),85255,3,"With spouse, significant other, and/or children",1,0,249,Four-year college,Less often,Daily,At least once a week,Less often,0,8,2,0,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
58,Female,White (non-hispanic),38635,10,Other (please specify),1,1,1,Some college/associate's degree,A few times a month,About once a month,Less often,Less often,0,0,1,0,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree
58,Female,White (non-hispanic),18104,10,"With spouse, significant other, and/or children",1,0,138,Master's or post-graduate professional degree,A few times a month,About once a month,Less often,Less often,1,0,0,0,Somewhat agree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree
58,Female,White (non-hispanic),34690,1,With roommates,1,0,13,Some college/associate's degree,Less often,Less often,A few times a month,Less often,0,0,2,0,Strongly agree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree
58,Female,White (non-hispanic),94546,12,"With spouse, significant other, and/or children",5+,0,177,Some college/associate's degree,About once a month,At least once a week,A few times a month,Daily,10,16,5,20,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree
58,Female,White (non-hispanic),6413,19,Living alone,2,0.1,,Master's or post-graduate professional degree,At least once a week,A few times a month,At least once a week,Daily,2,5,2,10,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree
58,Female,White (non-hispanic),95370,25,"With spouse, significant other, and/or children",1,0.2,80,Some college/associate's degree,Daily,A few times a month,Less often,At least once a week,2,2,3,3,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree
58,Female,White (non-hispanic),85262,15,Living alone,1,0,175,Four-year college,Less often,At least once a week,Less often,Less often,0,4,2,0,Somewhat agree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly agree
58,Male,White (non-hispanic),2176,29,"With spouse, significant other, and/or children",1,1.5,80,Master's or post-graduate professional degree,At least once a week,Less often,Less often,Less often,1,0,0,0,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree
58,Female,White (non-hispanic),29053,2,"With spouse, significant other, and/or children",1,0,20,Some college/associate's degree,A few times a month,Less often,Less often,Less often,4,0,0,0,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
58,Female,White (non-hispanic),38135,15,"With spouse, significant other, and/or children",1,0.4,140,Four-year college,About once a month,A few times a month,About once a month,Less often,1,5,2,0,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
57,Female,White (non-hispanic),84103,6,Living alone,2,0.5,49,Four-year college,Less often,About once a month,Less often,Less often,0,1,1,0,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree
57,Female,Asian,61920,11,"With spouse, significant other, and/or children",1,0.3,85,Master's or post-graduate professional degree,A few times a month,About once a month,Less often,Less often,0,5,6,3,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree
57,Female,White (non-hispanic),37043,5,"With spouse, significant other, and/or children",3,,29,Master's or post-graduate professional degree,Less often,About once a month,At least once a week,Less often,0,1,2,0,Somewhat disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Somewhat disagree
57,Female,White (non-hispanic),12208,14,Living alone,2,0,25,Some college/associate's degree,Less often,Less often,Less often,Less often,0,0,0,0,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree
56,Male,White (non-hispanic),30116,9,Living alone,1,0,10,Some college/associate's degree,Less often,About once a month,Less often,Less often,0,0,0,0,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree
56,Female,White (non-hispanic),28092,33,"With spouse, significant other, and/or children",1,0.1,80,Some college/associate's degree,About once a month,Less often,Less often,At least once a week,two,one,none,one,Strongly agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree
56,Male,White (non-hispanic),24179,56,Living alone,1,0.2,68,High school,At least once a week,Daily,Daily,Daily,10,20,5,10,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree
56,Female,White (non-hispanic),14606,5,"With spouse, significant other, and/or children",1,0.5,55,Four-year college,About once a month,A few times a month,Less often,Less often,1,3,0,0,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree
56,Male,"White (non-hispanic),Asian",77040,17,Living alone,1,0,40,Master's or post-graduate professional degree,At least once a week,Less often,Less often,Less often,2,0,0,0,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree
56,Female,White (non-hispanic),73507,2,"With spouse, significant other, and/or children",1,0,34,High school,About once a month,Less often,Less often,Less often,0,0,0,0,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree
56,Female,White (non-hispanic),95610,20,With other family,1,0,34,High school,Daily,Less often,Less often,Less often,3,0,0,0,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree
55,Female,"White (non-hispanic),Black or African American",32818,10,Living alone,1,0.4,40,Four-year college,At least once a week,At least once a week,Daily,At least once a week,2,3,2,4,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
55,Female,Black or African American,77521,55,Living alone,1,0,500,Some college/associate's degree,At least once a week,Daily,At least once a week,Less often,5,2,1,0,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree
55,Female,White (non-hispanic),2917,55,"With spouse, significant other, and/or children",1,0,300,Some college/associate's degree,Daily,About once a month,Less often,Less often,5,0,0,0,Strongly disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree
55,Male,White (non-hispanic),58103,20,Living alone,5+,0,19,Four-year college,Less often,Less often,Less often,Less often,0,0,0,0,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree
55,Male,Asian,52405,5,"With spouse, significant other, and/or children",2,0.5,22,Master's or post-graduate professional degree,Daily,A few times a month,Less often,About once a month,1,1,3,1,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree
55,Female,White (non-hispanic),93527,7,"With spouse, significant other, and/or children",1,0,19,Some college/associate's degree,Less often,At least once a week,At least once a week,Less often,0,3,0,0,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree
55,Female,White (non-hispanic),60707,7,With other family,1,0,49,Some college/associate's degree,About once a month,Less often,Less often,Less often,7,0,0,0,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree
55,Female,White (non-hispanic),10601,20,Living alone,3,0,50,Some college/associate's degree,Less often,At least once a week,About once a month,About once a month,10,10,3,5,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree
54,Female,White (non-hispanic),37153,10,"With spouse, significant other, and/or children",1,0.2,175,Four-year college,Less often,Less often,Less often,Daily,2,1,0,4,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree
54,Male,White (non-hispanic),85730,6,Living alone,1,4.1,42,High school,Less often,About once a month,Daily,Daily,2,2,4,6,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree
54,Male,White (non-hispanic),61554,14,With other family,1,0,48,Four-year college,Less often,At least once a week,About once a month,Less often,0,3,0,0,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly agree
54,Male,Asian,95831,29,Living alone,1,0,89,Master's or post-graduate professional degree,Less often,Less often,Less often,At least once a week,0,0,0,0,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree
54,Male,White (non-hispanic),99202,17,"With spouse, significant other, and/or children",1,0.3,92,Some college/associate's degree,About once a month,A few times a month,Less often,Less often,0,2,0,1,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree
54,Male,White (non-hispanic),8505,7,"With spouse, significant other, and/or children",1,0,125,Master's or post-graduate professional degree,At least once a week,At least once a week,About once a month,Less often,2,3,2,0,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree
54,Female,White (non-hispanic),43812,10,"With spouse, significant other, and/or children",1,0,70,Some college/associate's degree,About once a month,Less often,Less often,Less often,6,0,0,0,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree
54,Male,White (non-hispanic),18058,12,Living alone,1,0.5,80,Master's or post-graduate professional degree,At least once a week,At least once a week,About once a month,A few times a month,0,0,2,0,Strongly agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree
54,Female,"White (non-hispanic),Asian",17055,4,"With spouse, significant other, and/or children",5+,0,13,Four-year college,Less often,Less often,Less often,Less often,0,0,0,0,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree
54,Female,White (non-hispanic),29620,50,With other family,1,0,83,Some college/associate's degree,About once a month,At least once a week,Less often,Less often,6,4,6,1,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree
54,Female,Asian,92532,16,"With spouse, significant other, and/or children",1,0,0,Master's or post-graduate professional degree,A few times a month,Less often,Less often,Less often,0,0,0,0,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree
54,Female,Asian,84321,21,"With spouse, significant other, and/or children",1,0,101,Four-year college,Less often,At least once a week,Less often,Less often,0,5,2,0,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree
53,Female,Asian,84321,15,"With spouse, significant other, and/or children",1,0.5,149,Four-year college,Less often,A few times a month,At least once a week,Daily,0,3,3,2,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
53,Male,White (non-hispanic),11901,29,"With spouse, significant other, and/or children",1,0.4,71,Some college/associate's degree,About once a month,Daily,At least once a week,Daily,3,4,1,4,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
53,Male,White (non-hispanic),91325,15,"With spouse, significant other, and/or children",1,0.5,67,Four-year college,A few times a month,At least once a week,A few times a month,At least once a week,1,3,2,1,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree
53,Male,White (non-hispanic),94544,20,"With spouse, significant other, and/or children",1,1,155,Four-year college,Daily,About once a month,Less often,Daily,2,10,6,5,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree
53,Female,White (non-hispanic),98388,10,Other (please specify),4,0.3,48,Four-year college,Less often,At least once a week,At least once a week,Daily,2,5,3,1,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree
53,Male,White (non-hispanic),30309,1,Living alone,5+,1,77,Four-year college,Less often,A few times a month,Less often,Daily,0,1,0,3,Strongly disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree
53,Female,Asian,33624,18,"With spouse, significant other, and/or children",1,0,66,Four-year college,About once a month,A few times a month,About once a month,Daily,5,10,1,3,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree
53,Female,White (non-hispanic),19962,17,"With spouse, significant other, and/or children",1,0,123,Four-year college,Less often,Less often,About once a month,Less often,0,2,5,3,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
53,Male,"White (non-hispanic),Hispanic,Black or African American",94509,38,With other family,1,0,22,Some college/associate's degree,About once a month,Less often,Less often,Less often,5,3,2,0,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree
